,count,mean,std,min,25%,50%,75%,max,correlation_with_target
rsi_7,6752.0,45.72348676136818,30.980274491313455,0.0,18.1021095165343,46.20364250055503,69.14926182339568,100.0,0.464337717070369
rsi_7_slope,6690.0,0.6495618448354203,14.038482362898733,-70.87692187628306,-5.722969584774248,0.0,5.868938569842843,76.88635707942055,0.01522583238996112
rsi_trend_strength_7,6869.0,4.717296067606219,4.184957709928968,0.0,1.2617265861913864,3.894023958955588,6.76990010461969,30.26401532707537,-0.010066953100942409
rsi_14,6927.0,45.09413029781313,24.69494668395536,0.0,30.137127200903564,45.740532201720384,63.304378435464336,100.0,0.6099031863354969
rsi_14_slope,6886.0,0.01980630100408308,9.629598182812556,-90.99010301214349,-2.676972056853799,0.0,4.2161024934854225,77.48433789515292,0.09440845185626909
rsi_trend_strength_14,6926.0,3.542842866007839,4.27965751471187,0.0,0.7027719154283218,2.449192768456653,4.7969535261480445,45.495051506071746,0.09785387047447235
liquidity,7319.0,437455.6346607399,2039014.8420197945,0.0,16776.933334237372,79954.59025893941,270250.1969256045,20574340.401407298,-0.031698006198272975
market_count,7319.0,6.206995491187321,13.895804633819147,1.0,1.0,2.0,6.0,130.0,-0.019755948443765527
holder_count,7319.0,2806.101106708567,5158.8875018013605,17.0,529.0,1351.0,2786.0,46306.0,-0.012719446845814417
unique_wallets_24h,7319.0,991.4620849842875,1662.6896497675657,1.0,100.0,343.0,1115.0,20470.0,0.060305808532810576
active_ratio,7319.0,0.3781826752109333,0.4168301087143586,0.006633499170812604,0.12987012987012986,0.26883353584447145,0.47009735744089015,5.6311787072243344,0.027362119512526064
trades_24h,7319.0,10195.060800655827,26508.026532772954,1.0,222.0,1173.0,7163.0,170011.0,-0.030074815315990277
trades_per_holder,7319.0,29.3750704173808,171.12005631471186,0.006611570247933884,0.21011541072640869,0.848421052631579,2.1684286617872957,1259.3407407407408,-0.04262095491124354
